â„–,Seconds,Microseconds
1,20,712103
2,20,722278
3,20,732401
4,20,742516
5,20,752620
6,20,762720
7,20,772822
8,20,782937
9,20,793044
10,20,803141
11,20,813245
12,20,823360
13,20,833487
14,20,843587
15,20,853722
16,20,863818
17,20,873913
18,20,884018
19,20,894126
20,20,904238
21,20,914339
22,20,924444
23,20,934546
24,20,944653
25,20,954772
26,20,964888
27,20,974989
28,20,985112
29,20,995222
30,21,5315
31,21,15430
32,21,25536
33,21,35665
34,21,45851
35,21,55983
36,21,66121
37,21,76339
38,21,86493
39,21,96665
40,21,106783
41,21,116962
42,21,127107
43,21,137248
44,21,147423
45,21,157564
46,21,167743
47,21,177857
48,21,187995
49,21,198137
50,21,208301
51,21,218474
52,21,228622
53,21,238750
54,21,248960
55,21,259092
56,21,269270
57,21,279430
58,21,289579
59,21,299747
60,21,309846
61,21,320008
62,21,330126
63,21,340311
64,21,350474
65,21,360629
66,21,370787
67,21,381001
68,21,391170
69,21,401336
70,21,411478
71,21,421591
72,21,431759
73,21,441885
74,21,452040
75,21,462158
76,21,472264
77,21,482416
78,21,492555
79,21,502762
80,21,512959
81,21,523138
82,21,533316
83,21,543473
84,21,553697
85,21,563911
86,21,574043
87,21,584206
88,21,594338
89,21,604483
90,21,614664
91,21,624798
92,21,634963
93,21,645105
94,21,655254
95,21,665382
96,21,675490
97,21,685622
98,21,695766
99,21,705869
100,21,716024
101,21,726161
102,21,736268
103,21,746402
104,21,756548
105,21,766668
106,21,776780
107,21,786903
108,21,797017
109,21,807116
110,21,817236
111,21,827347
112,21,837467
113,21,847604
114,21,857711
115,21,867839
116,21,877946
117,21,888079
118,21,898250
119,21,908420
120,21,918588
121,21,928783
122,21,938952
123,21,949080
124,21,959185
125,21,969292
126,21,979413
127,21,989520
128,21,999629
129,22,9728
130,22,19840
131,22,29941
132,22,40027
133,22,50123
134,22,60221
135,22,70322
136,22,80433
137,22,90535
138,22,100654
139,22,110772
140,22,120886
141,22,130987
142,22,141085
143,22,151284
144,22,161392
145,22,171493
146,22,181593
147,22,191695
148,22,201792
149,22,211902
150,22,222006
151,22,232124
152,22,242236
153,22,252355
154,22,262467
155,22,272660
156,22,282798
157,22,292929
158,22,303054
159,22,313193
160,22,323301
161,22,333436
162,22,343569
163,22,353699
164,22,363826
165,22,373932
166,22,384101
167,22,394223
168,22,404373
169,22,414509
170,22,424640
171,22,434800
172,22,444915
173,22,455060
174,22,465224
175,22,475387
176,22,485545
177,22,495680
178,22,505810
179,22,515976
180,22,526091
181,22,536249
182,22,546377
183,22,556512
184,22,566679
185,22,576820
186,22,586935
187,22,597038
188,22,607247
189,22,617442
190,22,627641
191,22,637769
192,22,647948
193,22,658094
194,22,668343
195,22,678518
196,22,688766
197,22,698952
198,22,709177
199,22,719347
200,22,729565
201,22,739732
202,22,749854
203,22,760040
204,22,770201
205,22,780369
206,22,790530
207,22,800686
208,22,810859
209,22,820971
210,22,831113
211,22,841282
212,22,851522
213,22,861744
214,22,871879
215,22,882039
216,22,892265
217,22,902434
218,22,912606
219,22,922713
220,22,932820
221,22,942947
222,22,953166
223,22,963391
224,22,973616
225,22,983871
226,22,994161
227,23,4298
228,23,14400
229,23,24510
230,23,34612
231,23,44730
232,23,54869
233,23,65037
234,23,75177
235,23,85319
236,23,95452
237,23,105571
238,23,115738
239,23,125867
240,23,136002
241,23,146128
242,23,156239
243,23,166355
244,23,176487
245,23,186642
246,23,196795
247,23,206952
248,23,217107
249,23,227227
250,23,237363
251,23,247468
252,23,257583
253,23,267682
254,23,277790
255,23,287920
256,23,298086
257,23,308255
258,23,318396
259,23,328644
260,23,338834
261,23,349111
262,23,359241
263,23,369385
264,23,379579
265,23,389763
266,23,399942
267,23,410045
268,23,420265
269,23,430424
270,23,440647
271,23,450834
272,23,461000
273,23,471192
274,23,481343
275,23,491530
276,23,501704
277,23,511846
278,23,521985
279,23,532163
280,23,542287
281,23,552490
282,23,562636
283,23,572810
284,23,582978
285,23,593163
286,23,603351
287,23,613462
288,23,623623
289,23,633762
290,23,643921
291,23,654054
292,23,664226
293,23,674398
294,23,684562
295,23,694707
296,23,704893
297,23,715079
298,23,725198
299,23,735379
300,23,745515
